from,to,relationship
Lohuis,Niederl,1
Lohuis,SU,2
Lohuis,TTP,2
Lohuis,EA,2
Lohuis,CA,2
Lohuis,USCM,2
Todorova,Bulgar,1
Todorova,RCC,2
Todorova,VLC,2
Todorova,VZ,2
Todorova,LCVB,2
Todorova,SAP,2
Todorova,VCM,2
Timmerman,Niederl,1
Timmerman,TTP,2
Timmerman,AA,2
Timmerman,ET,2
Timmerman,LIBA,2
Kohn,Dtld,1
Kohn,VFBU,2
Kohn,OSPS,2
Kohn,BSPS,2
Vandevyver,Belg,1
Vandevyver,AK,2
Vandevyver,RCC,2
Vandevyver,IBF,2
Vandevyver,CL,2
Vandevyver,RRV,2
Vandevyver,CSMT,2
Nowicka,Pol,1
Nowicka,GBL,2
Nowicka,BKSPCBB,2
Nowicka,KSPBU,2
Nowicka,SMSPZPSS,2
Lee,USA,1
Lee,KAF,2
Lee,B,2
Lee,IVC,2
Lee,PSU,2
Palleres,Span,1
Palleres,BVMB,2
Palleres,DSC,2
Palleres,BSBC,2
Palleres,STM,2
Palleres,DIT,2
Palleres,GHO,2
Palleres,CVB,2
Jasper,Niederl,1
Jasper,VFBSLT,2
Jasper,VCS,2
Dornheim,Dtld,1
Dornheim,AMTVS,2
Dornheim,BSPS,2
Rivers,USA,1
Rivers,UOA,2
Rivers,BA,2
Rivers,LBMNE,2
Berger,Dtld,1
Berger,FVTM,2
Berger,BSPMTVS,2
Berger,VCOB,2
Koskelo,Finnl,1
Koskelo,OKNKBMB,2
Koskelo,LPV,2
Koskelo,LPK,2
Koskelo,HL,2
Koskelo,K,2
Koskelo,SP,2
Grundt,Dtld,1
Grundt,EJMTVS,2
Grundt,BSPS,2